Name,Code,key,labels
CDIVMSAR,11=New England MSA/CMSA of 1 million+ with heavy rail,11,New England MSA/CMSA of 1 million+ with heavy rail
CDIVMSAR,12=New England MSA/CMSA of 1 million+ w/o heavy rail,12,New England MSA/CMSA of 1 million+ w/o heavy rail
CDIVMSAR,13=New England MSA of less than 1 million,13,New England MSA of less than 1 million
CDIVMSAR,14=New England Not in an MSA,14,New England Not in an MSA
CDIVMSAR,21=Mid-Atlantic MSA/CMSA of 1 million+ with heavy rail,21,Mid-Atlantic MSA/CMSA of 1 million+ with heavy rail
CDIVMSAR,22=Mid-Atlantic MSA/CMSA of 1 million+ w/o heavy rail,22,Mid-Atlantic MSA/CMSA of 1 million+ w/o heavy rail
CDIVMSAR,23=Mid-Atlantic MSA of less than 1 million,23,Mid-Atlantic MSA of less than 1 million
CDIVMSAR,24=Mid-Atlantic Not in an MSA,24,Mid-Atlantic Not in an MSA
CDIVMSAR,31=East North Central MSA/CMSA of 1 million+ with heavy rail,31,East North Central MSA/CMSA of 1 million+ with heavy rail
CDIVMSAR,32=East North Central MSA/CMSA of 1 million+ w/o heavy rail,32,East North Central MSA/CMSA of 1 million+ w/o heavy rail
CDIVMSAR,33=East North Central MSA of less than 1 million,33,East North Central MSA of less than 1 million
CDIVMSAR,34=East North Central Not in an MSA,34,East North Central Not in an MSA
CDIVMSAR,42=West North Central MSA/CMSA of 1 million+ w/o heavy rail,42,West North Central MSA/CMSA of 1 million+ w/o heavy rail
CDIVMSAR,43=West North Central MSA of less than 1 million,43,West North Central MSA of less than 1 million
CDIVMSAR,44=West North Central Not in an MSA,44,West North Central Not in an MSA
CDIVMSAR,51=South Atlantic MSA/CMSA of 1 million+ with heavy rail,51,South Atlantic MSA/CMSA of 1 million+ with heavy rail
CDIVMSAR,52=South Atlantic MSA/CMSA of 1 million+ w/o heavy rail,52,South Atlantic MSA/CMSA of 1 million+ w/o heavy rail
CDIVMSAR,53=South Atlantic MSA of less than 1 million,53,South Atlantic MSA of less than 1 million
CDIVMSAR,54=South Atlantic Not in an MSA,54,South Atlantic Not in an MSA
CDIVMSAR,62=East South Central MSA/CMSA of 1 million+ w/o heavy rail,62,East South Central MSA/CMSA of 1 million+ w/o heavy rail
CDIVMSAR,63=East South Central MSA of less than 1 million,63,East South Central MSA of less than 1 million
CDIVMSAR,64=East South Central Not in an MSA,64,East South Central Not in an MSA
CDIVMSAR,72=West South Central MSA/CMSA of 1 million+ w/o heavy rail,72,West South Central MSA/CMSA of 1 million+ w/o heavy rail
CDIVMSAR,73=West South Central MSA of less than 1 million,73,West South Central MSA of less than 1 million
CDIVMSAR,74=West South Central Not in an MSA,74,West South Central Not in an MSA
CDIVMSAR,82=Mountain MSA/CMSA of 1 million+ w/o heavy rail,82,Mountain MSA/CMSA of 1 million+ w/o heavy rail
CDIVMSAR,83=Mountain MSA of less than 1 million,83,Mountain MSA of less than 1 million
CDIVMSAR,84=Mountain Not in an MSA,84,Mountain Not in an MSA
CDIVMSAR,91=Pacific MSA/CMSA of 1 million+ with heavy rail,91,Pacific MSA/CMSA of 1 million+ with heavy rail
